Incident Number,Property Code,Property Use Description,Property Use Category,Incident Code,Primary Type Category,Sub Type Category,Aid Given or Received,Incident Date and Time,First Unit Dispatched,First Unit Arrived,All Units Clear,Total First Unit Response Time,Total Time Committed,shift,Incident Location Area,Number of Apparatus Assigned,Number of Personnel Assigned, Property Value , Property Lost , Contents Value , Contents Lost 
16-0000001,963,Street or road in commercial area.,Outside,324,Hazard,MVA,None,1/1/2016 1:17,1/1/2016 1:16,1/1/2016 1:20,1/1/2016 1:29,0:03:50,0:12:16,B,8,2,8, $-   , $-   , $-   , $-   
16-0000002,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/1/2016 1:34,1/1/2016 1:33,1/1/2016 1:39,1/1/2016 2:05,0:06:38,0:32:14,B,4,1,5, $-   , $-   , $-   , $-   
16-0000003,142,Clubhouse associated with country club.,Assembly,710,No Hazard,ALARM,None,1/1/2016 2:28,1/1/2016 2:27,1/1/2016 2:35,1/1/2016 2:44,0:08:39,0:17:12,B,8,2,8, $-   , $-   , $-   , $-   
16-0000004,449,"Hotel/Motel, commercial.",Residential,510,No Hazard,ASSIST,Automatic Aid Received,1/1/2016 2:39,1/1/2016 2:38,1/1/2016 2:48,1/1/2016 3:10,0:09:52,0:31:58,B,1,1,4, $-   , $-   , $-   , $-   
16-0000005,599,Business office.,Business,321,Medical,EMS,None,1/1/2016 2:58,1/1/2016 2:58,1/1/2016 3:01,1/1/2016 3:23,0:03:34,0:24:47,B,1,1,3, $-   , $-   , $-   , $-   
16-0000006,419,1- or 2-family dwelling.,Residential,510,No Hazard,ASSIST,None,1/1/2016 3:38,1/1/2016 3:38,1/1/2016 3:42,1/1/2016 3:53,0:04:29,0:15:03,B,8,1,4, $-   , $-   , $-   , $-   
16-0000007,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/1/2016 6:09,1/1/2016 6:09,1/1/2016 6:14,1/1/2016 6:29,0:05:16,0:20:09,B,3,1,5, $-   , $-   , $-   , $-   
16-0000008,700,"Manufacturing, processing.",Manufacturing,741,No Hazard,ALARM,None,1/1/2016 7:46,1/1/2016 7:44,1/1/2016 7:51,1/1/2016 7:55,0:06:57,0:11:18,C,1,2,8, $-   , $-   , $-   , $-   
16-0000009,700,"Manufacturing, processing.",Manufacturing,740,No Hazard,ALARM,None,1/1/2016 8:03,1/1/2016 8:02,1/1/2016 8:08,1/1/2016 8:25,0:06:41,0:23:51,C,1,2,8, $-   , $-   , $-   , $-   
16-0000010,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/1/2016 8:43,1/1/2016 8:42,1/1/2016 8:47,1/1/2016 9:04,0:04:37,0:21:49,C,4,1,5, $-   , $-   , $-   , $-   
16-0000011,100,"Assembly, other.",Assembly,743,No Hazard,ALARM,None,1/1/2016 8:53,1/1/2016 8:52,1/1/2016 8:57,1/1/2016 9:31,0:05:30,0:39:31,C,7,4,12, $-   , $-   , $-   , $-   
16-0000012,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,1/1/2016 9:32,1/1/2016 9:32,1/1/2016 9:38,1/1/2016 9:57,0:06:53,0:25:00,C,7,1,3, $-   , $-   , $-   , $-   
16-0000013,419,1- or 2-family dwelling.,Residential,700,No Hazard,ALARM,Automatic Aid Received,1/1/2016 9:40,1/1/2016 9:38,1/1/2016 9:48,1/1/2016 9:58,0:10:00,0:20:38,C,6,2,7, $-   , $-   , $-   , $-   
16-0000014,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/1/2016 11:22,1/1/2016 11:22,1/1/2016 11:28,1/1/2016 11:36,0:05:59,0:14:22,C,3,2,7, $-   , $-   , $-   , $-   
16-0000015,449,"Hotel/Motel, commercial.",Residential,745,No Hazard,ALARM,None,1/1/2016 11:29,1/1/2016 11:28,1/1/2016 11:37,1/1/2016 11:46,0:09:12,0:17:58,C,1,2,8, $-   , $-   , $-   , $-   
16-0000016,500,"Mercantile, business, other.",Business,321,Medical,EMS,None,1/1/2016 13:16,1/1/2016 13:15,1/1/2016 13:19,1/1/2016 13:32,0:03:41,0:16:59,C,9,1,5, $-   , $-   , $-   , $-   
16-0000017,960,"Street, other.",Outside,352,Hazard,MVA,Automatic Aid Given,1/1/2016 14:28,1/1/2016 14:27,1/1/2016 14:32,1/1/2016 15:37,0:04:31,1:09:38,C,MVFD,3,8, $-   , $-   , $-   , $-   
16-0000018,962,"Residential street, road.",Outside,321,Medical,EMS,None,1/1/2016 14:43,1/1/2016 14:43,1/1/2016 14:45,1/1/2016 14:59,0:02:20,0:16:15,C,9,1,5, $-   , $-   , $-   , $-   
16-0000019,429,Multifamily dwelling.,Residential,741,No Hazard,ALARM,None,1/1/2016 15:47,1/1/2016 15:46,1/1/2016 15:53,1/1/2016 16:38,0:07:28,0:52:00,C,7,4,12, $-   , $-   , $-   , $-   
16-0000020,161,Restaurant or cafeteria.,Assembly,321,Medical,EMS,None,1/1/2016 16:50,1/1/2016 16:48,1/1/2016 16:54,1/1/2016 17:09,0:05:53,0:20:23,C,9,1,5, $-   , $-   , $-   , $-   
16-0000021,419,1- or 2-family dwelling.,Residential,114,Fire,STRUCTURE,Mutual Aid Received,1/1/2016 17:47,1/1/2016 17:46,1/1/2016 17:51,1/1/2016 18:53,0:05:29,1:06:41,C,4,6,21,"$131,000 ", $-   ,"$50,000 ","$1,000 "
16-0000022,161,Restaurant or cafeteria.,Assembly,311,Medical,EMS,None,1/1/2016 17:46,1/1/2016 17:46,1/1/2016 17:50,1/1/2016 17:59,0:04:31,0:12:52,C,4,1,5, $-   , $-   , $-   , $-   
16-0000023,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,1/1/2016 17:49,1/1/2016 17:48,1/1/2016 17:58,1/1/2016 18:04,0:10:03,0:15:49,C,3,1,3, $-   , $-   , $-   , $-   
16-0000024,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,1/1/2016 18:07,1/1/2016 18:07,1/1/2016 18:14,1/1/2016 18:27,0:07:40,0:20:48,C,9,1,3, $-   , $-   , $-   , $-   
16-0000025,300,"Health care, detention, and correction.",Health Care or Detention,321,Medical,EMS,None,1/1/2016 19:04,1/1/2016 19:04,1/1/2016 19:07,1/1/2016 19:34,0:03:03,0:29:26,C,2,1,4, $-   , $-   , $-   , $-   
16-0000026,311,"Nursing homes licensed by the State,.",Health Care or Detention,321,Medical,EMS,None,1/1/2016 19:11,1/1/2016 19:11,1/1/2016 19:16,1/1/2016 19:42,0:04:53,0:31:12,C,4,1,5, $-   , $-   , $-   , $-   
16-0000027,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/1/2016 21:08,1/1/2016 21:07,1/1/2016 21:14,1/1/2016 21:19,0:06:23,0:11:46,C,5,2,7, $-   , $-   , $-   , $-   
16-0000028,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/1/2016 22:27,1/1/2016 22:26,1/1/2016 22:32,1/1/2016 22:48,0:05:19,0:21:58,C,3,1,4, $-   , $-   , $-   , $-   
16-0000030,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,1/1/2016 23:40,1/1/2016 23:39,1/1/2016 23:45,1/1/2016 23:57,0:06:13,0:17:58,C,4,1,5, $-   , $-   , $-   , $-   
16-0000031,419,1- or 2-family dwelling.,Residential,743,No Hazard,ALARM,None,1/2/2016 0:17,1/2/2016 0:16,1/2/2016 0:24,1/2/2016 0:31,0:08:08,0:15:09,C,8,1,4, $-   , $-   , $-   , $-   
16-0000032,UUU,Undetermined.,Other,611,No Hazard,GOOD INTENT,Automatic Aid Given,1/2/2016 0:28,1/2/2016 0:27,,1/2/2016 0:34,,0:06:41,C,APFD,2,5, $-   , $-   , $-   , $-   
16-0000033,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/2/2016 3:00,1/2/2016 2:59,1/2/2016 3:08,1/2/2016 3:20,0:08:30,0:20:55,C,7,1,4, $-   , $-   , $-   , $-   
16-0000034,429,Multifamily dwelling.,Residential,735,No Hazard,ALARM,None,1/2/2016 8:08,1/2/2016 8:06,1/2/2016 8:13,1/2/2016 8:29,0:07:05,0:23:16,B,3,2,7, $-   , $-   , $-   , $-   
16-0000035,599,Business office.,Business,512,No Hazard,ASSIST,None,1/2/2016 8:51,1/2/2016 8:50,1/2/2016 8:51,1/2/2016 8:53,0:01:31,0:03:03,B,4,1,5, $-   , $-   , $-   , $-   
16-0000036,419,1- or 2-family dwelling.,Residential,611,No Hazard,GOOD INTENT,Automatic Aid Received,1/2/2016 10:43,1/2/2016 10:43,,1/2/2016 10:53,,0:09:41,B,6,2,9, $-   , $-   , $-   , $-   
16-0000037,429,Multifamily dwelling.,Residential,311,Medical,EMS,None,1/2/2016 12:30,1/2/2016 12:28,1/2/2016 12:34,1/2/2016 12:35,0:05:38,0:07:21,B,1,2,7, $-   , $-   , $-   , $-   
16-0000038,599,Business office.,Business,321,Medical,EMS,None,1/2/2016 12:45,1/2/2016 12:45,1/2/2016 12:48,1/2/2016 13:06,0:03:30,0:21:31,B,5,1,4, $-   , $-   , $-   , $-   
16-0000039,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,1/2/2016 13:09,1/2/2016 13:08,1/2/2016 13:12,1/2/2016 13:21,0:04:17,0:12:44,B,4,1,5, $-   , $-   , $-   , $-   
16-0000040,300,"Health care, detention, and correction.",Health Care or Detention,321,Medical,EMS,None,1/2/2016 13:11,1/2/2016 13:11,1/2/2016 13:17,1/2/2016 13:33,0:06:13,0:22:02,B,3,1,4, $-   , $-   , $-   , $-   
16-0000041,419,1- or 2-family dwelling.,Residential,733,No Hazard,ALARM,None,1/2/2016 14:12,1/2/2016 14:10,1/2/2016 14:17,1/2/2016 14:33,0:07:19,0:22:33,B,3,2,7, $-   , $-   , $-   , $-   
16-0000042,963,Street or road in commercial area.,Outside,322,Hazard,MVA,None,1/2/2016 14:50,1/2/2016 14:49,1/2/2016 14:53,1/2/2016 15:44,0:04:30,0:55:28,B,2,2,9, $-   , $-   , $-   , $-   
16-0000043,215,"High school, junior high, middle school.",Educational,743,No Hazard,ALARM,None,1/2/2016 15:07,1/2/2016 15:06,1/2/2016 15:08,1/2/2016 15:23,0:01:55,0:17:00,B,8,1,4, $-   , $-   , $-   , $-   
16-0000044,400,"Residential, other.",Residential,531,No Hazard,ASSIST,Automatic Aid Received,1/2/2016 15:00,1/2/2016 14:58,1/2/2016 15:05,1/2/2016 15:23,0:07:13,0:24:55,B,9,7,26, $-   , $-   , $-   , $-   
16-0000045,419,1- or 2-family dwelling.,Residential,561,Fire,OTHER,None,1/2/2016 15:41,1/2/2016 15:40,1/2/2016 15:42,1/2/2016 15:45,0:01:28,0:05:20,B,3,1,3, $-   , $-   , $-   , $-   
16-0000046,419,1- or 2-family dwelling.,Residential,561,Fire,OTHER,None,1/2/2016 15:46,1/2/2016 15:46,1/2/2016 15:46,1/2/2016 15:52,0:00:27,0:06:44,B,3,1,3, $-   , $-   , $-   , $-   
