Incident Number,Property Code,Property Use Description,Property Use Category,Incident Code,Primary Type Category,Sub Type Category,Aid Given or Received,Incident Date and Time,First Unit Dispatched,First Unit Arrived,All Units Clear,Total First Unit Response Time,Total Time Committed,shift,Incident Location Area,Number of Apparatus Assigned,Number of Personnel Assigned,Property Value,Property Lost,Contents Value,Contents Lost
16-0000001,963,Street or road in commercial area.,Outside,324,Hazard,MVA,None,42370.05354,42370.05344,42370.0561,42370.06196,0:03:50,0.008518519,B,8,2,8,0,0,0,0
16-0000002,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42370.06536,42370.06465,42370.06926,42370.08704,0:06:38,0.022384259,B,4,1,5,0,0,0,0
16-0000003,142,Clubhouse associated with country club.,Assembly,710,No Hazard,ALARM,None,42370.10336,42370.10208,42370.10809,42370.11403,0:08:39,0.011944444,B,8,2,8,0,0,0,0
16-0000004,449,"Hotel/Motel, commercial.",Residential,510,No Hazard,ASSIST,Automatic Aid Received,42370.11068,42370.11012,42370.11697,42370.13231,0:09:52,0.022199074,B,1,1,4,0,0,0,0
16-0000005,599,Business office.,Business,321,Medical,EMS,None,42370.12396,42370.12384,42370.12632,42370.14105,0:03:34,0.017210648,B,1,1,3,0,0,0,0
16-0000006,419,1- or 2-family dwelling.,Residential,510,No Hazard,ASSIST,None,42370.15159,42370.15141,42370.15453,42370.16186,0:04:29,0.010451389,B,8,1,4,0,0,0,0
16-0000007,429,Multifamily dwelling.,Residential,321,Medical,EMS,None,42370.25681,42370.25628,42370.25994,42370.27028,0:05:16,0.013993056,B,3,1,5,0,0,0,0
16-0000008,700,"Manufacturing, processing.",Manufacturing,741,No Hazard,ALARM,None,42370.32368,42370.32267,42370.3275,42370.33052,0:06:57,0.007847222,C,1,2,8,0,0,0,0
16-0000009,700,"Manufacturing, processing.",Manufacturing,740,No Hazard,ALARM,None,42370.33566,42370.33478,42370.33942,42370.35134,0:06:41,0.0165625,C,1,2,8,0,0,0,0
16-0000010,419,1- or 2-family dwelling.,Residential,321,Medical,EMS,None,42370.36336,42370.36292,42370.36612,42370.37807,0:04:37,0.015150463,C,4,1,5,0,0,0,0
16-0000011,100,"Assembly, other.",Assembly,743,No Hazard,ALARM,None,42370.37053,42370.36961,42370.37343,42370.39705,0:05:30,0.02744213,C,7,4,12,0,0,0,0
16-0000012,419,1- or 2-family dwelling.,Residential,311,Medical,EMS,None,42370.3975,42370.39727,42370.40205,42370.41463,0:06:53,0.017361111,C,7,1,3,0,0,0,0
